GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fila,tcc,Queue.Node,0,6,0,0,0,1,0,1,0,1
fila,tcc,Queue,0,77,0,10,0,21,0,10,0,5
