GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lista-encadeada,tcc,LinkedList.Node,0,22,0,0,0,8,0,4,0,4
lista-encadeada,tcc,LinkedList,0,136,0,20,0,37,0,17,0,7
