GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lista-circular,tcc,Node,0,6,0,0,0,3,0,1,0,1
lista-circular,tcc,CircularLinkedList,0,150,0,24,0,43,0,20,0,8
